id,sentiment
1241080025371144192,
1241075581598433281,
1241068075425857541,
1241065882694156288,
1241058413754417153,
1241057978750566408,
1241056889917620224,
1241054418591797249,
1241049114445578243,
1241078441748959233,
1241047980536455169,
1241034534675722242,
1241033841839661056,
1241030798288945152,
1241022290051112961,
1241018195554770945,
1241017551171260416,
1241004065276022785,
1241001939183124487,
1241036740758048769,
1240999910951890946,
1241080307983548416,
1241088446959104002,
1241140013741387776,
1241125538384707587,
1241118554692427777,
1241118433670049796,
1241112251072794624,
1241108424227614720,
1241107645483962376,
1241106284411322370,
1241086369063190530,
1241104670862594049,
1241101637013233664,
1241098119338737664,
1241096761512468486,
1241093266717782017,
1241092890337652736,
1241091351011160064,
1241088881195233280,
1241088551443410950,
1241103939073904640,
1240972562861039620,
1241036413031698433,
1240938332500168704,
1240830400567693317,
1240830117913538561,
1240829118578479104,
1240825611544920065,
1240825552547782657,
1240824614797717504,
1240824577225154560,
1240966806522810370,
1240815975118696448,
1240813351946653696,
1240810427954499586,
1240808718326853632,
1240807990862606336,
1240807740542537730,
1240804304463822849,
1240799104009150464,
1240796072735375366,
1240791066011488257,
1240790800088403968,
1240831091973464064,
1240831537081434112,
1240822067106209794,
1240834756784336898,
1240898667835506689,
1240898573123944448,
1240897148415336448,
1240895338740879361,
1240878077791567874,
1240875910808719360,
1240873260734128128,
1240872207221473280,
1240871384168796160,
1240916378946863105,
1240864449843671040,
1240855328876630019,
1240854588644876288,
1240853875311214598,
1240847432776323078,
1240845664839442432,
1240836516806443009,
1240835447309418497,
1240865299991343111,
1241457712388603910,
1241444714307637248,
1241444984991211521,
1241445156303355916,
1241455908758192128,
1241453589605650432,
1241454089516519431,
1241441855599976450,
1241445471660490752,
1241440154717487109,
1241422881432711171,
1241429389117665280,
1241425576323407872,
1241424462689579008,
1241412806345396224,
1241406353689714689,
1241404400171732992,
1241403524166094848,
1241401737208123394,
1241399516307357697,
1241431356401422336,
1241459654485520392,
1241457541684453376,
1241462981742997510,
1241398259488141312,
1241514450122915842,
1241514225635405825,
1241513749472837632,
1241508039020199946,
1241506190208708608,
1241505562908639234,
1241502024577036291,
1241500329646026753,
1241461282743758854,
1241499789445017601,
1241493545221054469,
1241491123614474243,
1241483277837438976,
1241480214015852544,
1241479299414126592,
1241478305787908096,
1241469324679942147,
1241467736028520448,
1241463650466107392,
1241496370952970247,
1241390348171120640,
1241210998964416512,
1241373132235014144,
1241205285538193408,
1241202434376192001,
1241201312123031555,
1241195166645575680,
1241194323233968128,
1241188173847228416,
1241187061912174592,
1241186735213535232,
1241186480078204929,
1241209869086179331,
1241185420727029761,
1241184163144724480,
1241179472893706241,
1241174935042744323,
1241161778643558406,
1241160039810904064,
1241159609521504256,
1241158860792045574,
1241379940651749377,
1241153456079024133,
1241184229813354504,
1241210200037699584,
1241155005157122050,
1241367193566228481,
1241363780044537857,
1241363270079901697,
1241361754417848321,
1241356593196937216,
1241349089138290688,
1241288206458523648,
1241210407185985537,
1241280265584087040,
1241248237551575040,
1241243228411760642,
1241284278144524290,
1241242250673369089,
1241235375269404672,
1241231856395313153,
1241225044036108288,
1241221824375140352,
1241217954378928128,
1241213867964989442,
1241212687444365312,
1241242559319588864,
1241794881229443072,
1241795309765898241,
1241797384218259456,
1241804691580862465,
1241800224038727680,
1241801520745717764,
1241804143171428352,
1241798671961935873,
1241792392610496512,
1241876984663162880,
1241782618691178498,
1241780622676447232,
1241774267789971456,
1241772793949290496,
1241771584945299456,
1241761799231410179,
1241761311442124802,
1241755342293393415,
1241807788499705862,
1241745438191034370,
1241785630427938817,
1241810747392434176,
1241844123939803149,
1241815931505893376,
1241742332036349955,
1241873544369274882,
1241872734168236035,
1241872677171867649,
1241870454232678411,
1241861583321645059,
1241861384947642368,
1241861314412261377,
1241856168324034560,
1241854796556046338,
1241844595731968008,
1241841535135735808,
1241839819329867776,
1241838001296216064,
